ID
1,696,696,465,465,504,504
2,364,364,390,390,361,361
3,551,551,553,553,604,604
4,376,376,776,776,443,443
5,255,255,514,514,795,795
6,624,624,758,758,424,424
7,778,778,794,794,723,723
8,477,477,654,654,562,562
9,400,400,658,658,709,709
10,747,747,241,241,828,828
11,409,409,773,773,595,595
12,434,434,472,472,568,568
13,326,326,734,734
14,759,759,408,408,496,496
15,592,592,730,730,545,545
16,603,603,585,585,629,629
17,428,428,653,653,483,483
18,481,481,740,740,800,800
19,413,413,260,260,656,656
20,607,607,466,466,847,847
21,600,600,250,250,460,460
22,301,301,687,687,745,745
23,611,611,328,328,695,695
24,663,663,512,512,744,744
25,267,267,631,631
26,539,539,295,295,625,625
27,540,540,385,385,690,690
28,762,762,558,558,387,387
29,676,676,447,447,354,354
30,802,802,581,581,577,577
31,787,787,336,336,743,743
32,254,254,678,678,692,692
33,248,248,822,822,621,621
34,320,320,700,700,438,438
35,815,815,760,760,464,464
36,289,289,410,410,506,506
37,557,557,733,733,495,495
38,271,271,710,710,751,751
39,736,736,766,766,437,437
40,299,299,534,534,664,664
41,319,319,661,661,357,357
42,831,831,526,526,753,753
43,396,396,848,848,511,511
44,754,754,714,714,573,573
45,407,407,613,613,816,816
46,341,341,627,627,373,373
47,803,803,348,348,683,683
48,711,711,293,293,372,372
49,278,278,257,257,489,489
50,285,285,567,567,674,674
51,737,737,392,392,469,469
52,476,476,344,344,812,812
53,237,237
54,345,345,635,635,395,395
55,360,360,333,333,499,499
56,311,311
57,444,444,323,323,574,574
58,263,263,503,503,781,781
59,799,799,548,548,351,351
60,445,445,402,402,471,471
61,457,457,547,547,605,605
62,451,451,811,811,671,671
63,601,601,832,832,498,498
64,536,536,821,821,488,488
65,739,739,541,541,450,450
66,500,500,666,666,343,343
67,715,715,806,806,756,756
68,298,298,620,620,650,650
69,769,769,786,786,478,478
70,491,491,667,667,393,393
71,449,449,375,375,542,542
72,415,415,273,273,522,522
73,572,572,461,461,704,704
74,693,693,290,290
75,346,346,381,381,401,401
76,840,840,419,419,675,675
77,521,521,791,791,505,505
78,430,430,427,427,640,640
79,583,583,798,798
80,404,404,561,561,486,486
81,673,673,429,429,807,807
82,474,474,633,633,529,529
83,458,458,383,383,467,467
84,699,699,453,453,703,703
85,454,454,843,843,844,844
86,322,322,619,619,245,245
87,566,566,265,265,569,569
88,508,508,622,622,253,253
89,238,238,810,810
90,359,359,418,418,579,579
91,243,243,501,501,304,304
92,347,347,523,523,484,484
93,796,796,423,423,590,590
94,411,411,518,518,780,780
95,727,727,647,647
96,275,275,657,657,459,459
97,300,300
98,414,414
99,694,694,651,651,826,826
100,313,313,563,563,258,258
101,532,532,318,318,668,668
102,537,537,485,485,750,750
103,643,643,827,827,576,576
104,270,270
105,244,244,543,543,236,236
106,731,731,638,638,697,697
107,435,435,421,421,535,535
108,368,368,598,598,644,644
109,448,448,706,706,655,655
110,549,549,490,490,242,242
111,588,588,708,708,609,609
112,519,519,494,494,772,772
113,597,597,785,785
114,691,691,669,669,659,659
115,559,559,398,398,412,412
116,337,337,717,717,789,789
117,584,584,468,468,808,808
118,507,507,628,628,817,817
