ID
1,79,79
2,76,76
3,80,80
4,82,82
5,84,84
6,85,85
7,89,89
8,87,87
9,92,92
10,77,77
11
12,124,124
13,86,86
14,102,102
15,88,88
16,90,90
17,106,106
18,91,91
19,109,109
20
21,93,93
22,78,78
23,97,97
24,96,96
25
26,95,95
27
28,94,94
29,98,98
30,100,100
31
32,101,101
33,105,105
34
35
36,114,114
37,110,110
38,103,103
39,116,116
40,107,107
41
42,81,81
43,112,112
44,111,111
45,119,119
46,117,117
47
48,120,120
49,108,108
50,121,121
51,122,122
52
53,99,99
54,104,104
55,118,118
56,123,123
57,125,125
58,113,113
59
60
61,83,83
62
63
64
65
66
67,115,115
68
69
70
71
72
73
74
75
