ID
1,417,417,387,387
2,481,481,1021,1021,548,548
3,490,490,466,466,937,937
4,606,606,880,880,493,493
5,639,639,624,624,883,883
6,363,363,557,557
7,495,495,344,344,1014,1014
8,634,634,951,951,724,724
9,537,537,746,746,971,971
10,853,853,589,589,447,447
11,620,620,393,393,760,760
12,758,758,631,631,835,835
13,575,575,742,742,948,948
14,367,367,573,573,647,647
15,868,868,860,860
16,556,556,642,642,633,633
17,965,965,970,970
18,491,491,615,615,933,933
19,975,975,591,591
20,386,386,535,535
21,729,729,991,991,969,969
22,401,401,1036,1036,433,433
23,736,736,617,617
24,819,819,730,730,530,530
25,913,913,929,929
26,895,895,527,527,987,987
27,824,824,489,489
28,451,451,424,424
29,580,580,792,792
30,1027,1027,1022,1022
31,429,429,781,781
32,759,759,603,603
33,787,787,383,383
34,419,419,551,551
35,508,508,478,478
36,800,800,411,411,352,352
37,750,750,842,842,374,374
38,983,983,1012,1012,403,403
39,1010,1010,343,343
40,566,566,539,539
41,709,709,718,718
42,820,820,460,460,812,812
43,432,432,839,839,940,940
44,510,510,480,480,782,782
45,640,640,981,981,966,966
46,546,546,384,384
47,422,422,461,461
48,533,533,346,346,526,526
49,564,564,854,854,629,629
50,906,906,789,789
51,342,342,804,804
52,549,549,608,608
53,691,691,722,722,962,962
54,802,802,516,516,428,428
55,654,654
56,829,829,762,762
57,536,536,848,848
58,558,558,511,511,570,570
59,775,775,587,587,463,463
60,348,348,728,728
61,506,506,980,980
62,385,385,666,666
63,777,777,964,964,788,788
64,881,881,648,648
65,828,828,400,400
66,798,798,391,391
67,683,683,911,911
68,994,994,426,426,815,815
69,694,694,905,905
70,357,357,395,395,978,978
71,904,904,882,882
72,934,934,656,656,998,998
73,388,388,474,474
74,673,673,866,866
75,630,630,719,719
76,531,531,414,414
77,846,846,1000,1000
78,1046,1046,482,482
79,505,505,1038,1038,749,749
80,500,500,612,612
81,430,430,859,859,932,932
82,712,712,1007,1007,1017,1017
83,635,635,358,358
84,513,513,377,377
85,457,457
86,398,398,618,618
87,541,541,657,657
88,655,655,976,976,1016,1016
89,738,738,572,572
90,660,660,544,544
91,908,908,930,930,372,372
92,763,763,917,917
93,780,780,563,563
94,503,503,818,818
95,402,402,863,863
96,487,487,898,898
97,710,710,985,985
98,586,586,692,692
99,979,979,368,368
100,458,458,806,806
101,914,914,473,473
102,756,756,945,945
103,584,584,392,392
104,494,494,669,669
105,567,567,922,922
106,435,435,623,623,989,989
107,748,748,1037,1037
108,362,362,616,616,522,522
109,423,423,921,921
110,1018,1018,611,611
111,479,479,619,619,497,497
112,821,821,684,684
113,588,588,959,959
114,649,649,708,708
115,739,739,988,988,381,381
116,858,858,957,957,355,355
117,1002,1002,609,609
118,810,810,378,378
119,450,450,855,855
120,604,604,369,369
121,816,816,954,954
122,507,507,592,592
123,721,721,953,953
124,993,993,1028,1028
125,351,351,439,439,542,542
126,475,475,899,899
127,757,757,485,485
128,425,425,920,920
129,896,896,399,399
130,1020,1020,995,995,1024,1024
131,468,468,754,754
132,621,621,877,877
133,944,944,613,613,961,961
134,405,405,784,784
135,469,469,963,963
136,442,442,990,990
137,595,595,1023,1023
138,950,950,982,982
139,686,686,843,843
140,445,445,797,797
141,677,677,529,529
142,553,553,889,889
143,723,723,844,844
144,663,663,659,659,761,761
145,751,751,1040,1040
146,996,996
147,809,809,441,441
148,770,770,901,901
149,924,924,915,915
150,790,790,420,420
151,518,518,524,524
152,576,576,1031,1031
153,909,909,767,767,443,443
154,732,732,799,799
155,805,805,625,625
156,941,941,752,752
157,727,727,936,936
158,734,734,769,769
159,794,794,453,453
160,464,464,834,834,697,697
161,745,745,1032,1032
162,521,521,605,605
163,725,725,413,413
164,774,774,523,523
165,1039,1039,438,438
166,833,833,1013,1013
167,926,926,918,918
168,476,476,1015,1015
169,717,717,504,504
170,379,379,704,704
171,735,735,862,862
172,512,512,943,943
173,568,568,737,737
174,864,864,571,571
175,890,890,687,687
176,341,341,851,851
177,345,345,484,484
178,836,836,380,380
179,871,871,753,753
180,574,574,361,361
181,693,693,689,689
182,726,726,870,870,879,879
183,690,690,364,364
184,632,632,552,552
185,874,874,755,755
186,928,928,903,903
187,389,389,470,470
188,678,678,984,984
189,698,698
190,437,437,867,867
191,837,837,986,986
192,598,598,707,707
193,700,700,711,711
194,888,888,371,371
195,958,958,967,967
196,483,483,747,747
197,543,543,832,832
198,582,582,626,626
199,826,826,1041,1041
200,434,434,652,652
201,977,977,407,407
202,823,823,974,974
203,807,807,410,410
204,579,579,641,641
205,340,340
206,446,446,701,701
207,646,646,477,477
208,1044,1044,610,610
209,427,427,339,339
210,850,850,593,593
211,674,674,650,650
212,696,696,390,390,501,501
213,514,514,900,900
214,1009,1009
215,594,594,1045,1045
216,997,997,554,554
217,772,772,743,743,856,856
218,622,622,1008,1008
219,688,688,776,776
220,825,825,1006,1006,939,939
221,679,679,783,783,347,347
222,559,559,840,840
223,653,653
224,465,465,601,601
225,532,532,662,662
226,449,449,680,680
227,813,813,999,999
228,528,528,897,897
229,1033,1033,538,538
230,682,682,910,910
231,637,637,578,578
232,1029,1029,627,627
233,672,672,353,353
234,814,814,396,396
235,796,796,676,676
236,545,545,857,857
237,596,596,597,597
238,547,547
239,607,607
240,415,415,452,452
241,359,359,927,927
242,394,394,876,876
243,455,455,397,397
244,764,764,801,801
245,1025,1025,560,560
246,817,817,602,602
247,731,731,418,418
248,599,599,462,462
249,852,852,517,517,1042,1042
250,376,376,720,720
251,421,421,960,960
252,644,644
253,565,565,938,938
254,600,600,946,946
255,741,741,766,766
256,1030,1030,1004,1004
257,628,628,952,952
258,583,583,779,779
259,1043,1043
260,919,919,893,893
261,1026,1026,590,590
262,861,861,670,670
263,671,671,699,699
264,534,534,499,499
265,841,841,667,667
266,350,350,408,408
267,702,702,878,878
268,785,785,968,968
269,955,955,935,935
270,555,555,416,416
271,492,492,1019,1019
272,947,947,366,366
273,373,373,1035,1035
274,614,614,902,902
275,706,706,515,515
276,923,923,685,685
277,942,942,803,803
278,795,795,638,638
279,412,412
280,822,822,831,831
281,973,973,525,525
282,872,872
283,778,778,488,488
284,349,349,838,838
285,448,448,865,865
286,793,793
287,675,675,354,354
288,885,885,768,768
289,827,827,972,972
290,356,356,431,431
291,365,365,409,409
292,894,894,585,585
293,382,382,1001,1001,509,509
294,370,370,949,949
295,550,550
296,496,496,664,664
297,643,643,360,360
298,444,444,849,849
299,581,581,705,705
300,912,912,440,440
301,714,714,875,875
302,992,992,375,375
303,681,681,459,459
304,562,562,577,577
305,845,845,791,791
306,456,456,472,472
307,786,786,1034,1034
308,658,658,561,561
309,733,733,404,404
310,1005,1005,498,498
311,716,716,467,467
312,502,502,811,811
313,771,771
314,569,569
