ID
1,558,558,517,517,717,717,452,452
2,257,257,575,575,569,569,576,576
3,655,655,227,227,286,286,261,261
4,654,654,577,577,719,719,299,299
5,487,487,271,271,704,704,292,292
6,657,657,221,221,214,214,372,372
7,476,476,450,450,321,321,329,329
8,652,652,649,649,640,640,225,225
9,546,546,205,205,334,334,520,520
10,709,709,183,183,307,307,260,260
11,507,507,648,648,494,494
12,224,224,319,319,481,481,370,370
13,723,723,240,240,259,259,194,194
14,230,230,686,686,161,161,272,272
15,467,467,325,325
16,258,258,506,506,211,211,607,607
17,305,305,203,203,356,356,608,608
18,463,463,480,480,235,235,332,332
19,238,238,632,632
20,346,346,313,313,350,350,406,406
21,378,378,308,308,701,701,532,532
22,542,542,341,341,548,548,594,594
23,291,291,675,675,495,495,670,670
24,304,304,186,186,549,549,344,344
25,429,429,722,722,592,592,245,245
26,392,392,667,667,182,182,442,442
27,317,317,716,716,269,269,353,353
28,396,396,677,677,204,204,290,290
29,422,422,189,189,449,449,439,439
30,166,166,371,371
31,361,361,624,624,484,484
32,394,394,714,714,234,234
33,412,412,199,199,593,593,669,669
34,415,415,625,625,568,568,600,600
35,544,544,160,160,555,555,503,503
36,468,468,601,601,433,433
37,179,179,647,647,386,386
38,514,514,247,247,310,310
39,289,289,192,192,431,431,451,451
40,408,408,508,508,159,159,262,262
41,250,250,543,543,535,535,198,198
42,263,263,178,178,661,661,530,530
43,264,264,493,493
44,567,567,220,220,200,200
45,477,477,190,190,453,453,306,306
46,314,314,703,703,528,528,233,233
47,620,620,623,623,281,281,694,694
48,457,457,584,584
49,641,641,417,417,283,283,490,490
50,702,702,633,633,184,184
51,162,162,697,697,626,626,551,551
52,488,488,342,342,411,411,326,326
53,246,246,170,170,340,340,446,446
54,311,311,585,585,685,685
55,210,210,533,533,395,395,427,427
56,322,322,622,622,465,465
57,368,368,285,285,586,586,424,424
58,474,474,553,553,265,265
59,420,420,456,456,296,296,355,355
60,239,239,278,278,174,174
61,619,619,617,617,572,572,489,489
62,333,333,213,213,466,466,218,218
63,398,398,516,516,643,643,698,698
64,421,421,445,445,206,206
65,527,527,338,338,164,164,462,462
66,228,228,662,662,513,513
67,374,374,409,409,251,251,345,345
68,631,631,498,498,397,397,196,196
69,202,202,571,571,531,531,606,606
70,237,237,167,167,173,173
71,428,428,482,482,348,348,435,435
72,436,436,618,618,634,634
73,300,300,552,552,651,651
74,249,249,497,497,328,328,208,208
75,244,244
76,437,437,274,274,573,573
77,347,347,207,207,358,358,715,715
78,582,582,276,276,706,706,515,515
79,590,590,512,512,613,613,270,270
80,500,500,407,407,524,524
81,302,302,369,369,385,385
82,279,279,565,565,191,191,383,383
83,416,416,687,687,175,175,219,219
84,664,664,700,700,380,380,352,352
85,181,181,692,692,605,605,671,671
86,674,674,589,589,381,381,426,426
87,172,172,596,596,676,676,351,351
88,339,339,591,591,403,403
89,195,195,280,280,646,646,570,570
90,464,464,168,168,458,458,459,459
91,315,315,523,523,284,284
92,672,672,379,379,688,688,707,707
93,209,209,563,563,564,564
94,614,614,581,581,387,387,656,656
95,413,413,349,349,718,718,609,609
96,419,419,226,226,469,469,444,444
97,404,404,282,282,215,215,721,721
98,682,682,176,176,180,180
99,418,418,241,241,501,501
100,472,472,425,425,483,483,188,188
101,579,579,364,364,336,336
102,248,248,511,511,562,562,597,597
103,491,491,556,556,559,559,294,294
104,362,362,663,663,639,639,628,628
105,679,679,561,561,316,316
106,598,598,502,502,538,538,309,309
107,529,529,724,724,455,455,222,222
108,253,253,681,681,678,678
109,405,405,610,610,212,212
110,699,699,169,169,684,684,658,658
111,324,324,377,377,566,566,366,366
112,705,705,367,367,526,526,337,337
113,447,447,391,391,434,434,400,400
114,201,201,695,695,187,187,505,505
115,653,653,522,522,461,461,388,388
116,354,354,254,254,242,242,479,479
117,327,327,297,297,539,539,638,638
118,401,401,323,323,423,423,473,473
119,578,578,399,399,252,252,376,376
120,616,616,440,440,443,443
121,621,621,554,554
122,163,163,430,430,475,475,637,637
123,470,470,454,454,243,243,478,478
124,268,268,389,389,266,266,642,642
125,659,659,711,711,627,627,273,273
126,267,267,312,312,525,525
127,588,588,580,580,499,499
128,537,537,521,521,277,277,438,438
129,373,373,359,359,165,165,448,448
130,550,550,393,393,414,414,604,604
131,710,710,574,574
132,363,363,673,673,293,293,541,541
133,666,666,357,357,547,547
134,217,217,691,691
135,298,298,650,650,612,612,390,390
136,599,599,360,360,540,540,287,287
137,668,668,595,595,441,441
138,382,382,223,223,683,683,460,460
139,534,534,256,256,402,402
140,330,330,471,471
141,335,335,485,485,587,587,432,432
142,295,295,504,504,231,231,365,365
143,331,331,255,255,720,720,519,519
144,603,603,665,665,343,343
145,510,510,545,545,384,384,708,708
146,509,509,611,611,232,232,560,560
147,375,375,635,635,644,644
148,410,410,696,696,193,193,496,496
149,216,216,713,713,177,177,185,185
150,288,288,602,602
151,630,630,486,486,693,693,320,320
152,536,536,171,171,645,645
153,629,629,301,301,615,615
154,197,197,557,557,518,518
155,660,660,583,583,689,689,690,690
156,712,712,680,680,492,492
157,275,275,229,229,636,636,303,303
158,236,236,318,318
