ID
1,1271,1271,1518,1518
2,2614,2614,1162,1162
3,1163,1163,1643,1643
4,2141,2141,2171,2171
5,1715,1715,1700,1700
6,1559,1559,1574,1574
7,1242,1242,1938,1938
8,1367,1367,2677,2677
9,1328,1328,1341,1341
10,1070,1070,1360,1360
11,1400,1400,2346,2346
12,1372,1372,2506,2506
13,1950,1950,1334,1334
14,2245,2245,1401,1401
15,1153,1153
16,1781,1781,2319,2319
17,1132,1132,2746,2746
18,1780,1780,2585,2585
19,1448,1448,2551,2551
20,2120,2120
21,1161,1161
22,1568,1568
23,2579,2579,1868,1868
24,2036,2036,1591,1591
25,1490,1490
26,2361,2361
27,1675,1675,1692,1692
28,1759,1759
29,2091,2091,2485,2485
30,1280,1280,1218,1218
31,1147,1147
32,1079,1079
33,1387,1387,2390,2390
34,1992,1992
35,2578,2578,1523,1523
36,2414,2414
37,2197,2197
38,1682,1682
39,2196,2196,1741,1741
40,1524,1524,1095,1095
41,1409,1409,1595,1595
42,1457,1457,2687,2687
43,2013,2013
44,1611,1611,1904,1904
45,1117,1117,2241,2241
46,1926,1926,1535,1535
47,1134,1134
48,1419,1419,2616,2616
49,1601,1601
50,2083,2083
51,1298,1298
52,1980,1980
53,2055,2055,1975,1975
54,2685,2685
55,2269,2269,1204,1204
56,1442,1442,2207,2207
57,1764,1764,2268,2268
58,1784,1784
59,2052,2052
60,2273,2273,2629,2629
61,1321,1321,2641,2641
62,2200,2200
63,2368,2368,1886,1886
64,1266,1266,1885,1885
65,2018,2018,2247,2247
66,1725,1725,2560,2560
67,1283,1283,1793,1793
68,2333,2333
69,2124,2124,2210,2210
70,1150,1150,2589,2589
71,1653,1653
72,2203,2203
73,2434,2434
74,2332,2332
75,1184,1184,1934,1934
76,1967,1967
77,1731,1731
78,1023,1023,2651,2651
79,2272,2272,1118,1118
80,1329,1329,2342,2342
81,2182,2182,2534,2534
82,2143,2143,1791,1791
83,2119,2119
84,2558,2558
85,1651,1651,1086,1086
86,2566,2566,2501,2501
87,1052,1052,1964,1964
88,1606,1606
89,1351,1351,2447,2447
90,1865,1865,2267,2267
91,2221,2221
92,2066,2066
93,1666,1666
94,1104,1104
95,1205,1205,2611,2611
96,1477,1477
97,1622,1622
98,2279,2279
99,1224,1224,1314,1314
100,1844,1844,2627,2627
101,1249,1249,2426,2426
102,2094,2094,1687,1687
103,1291,1291
104,1258,1258
105,1610,1610,1350,1350
106,1648,1648,2307,2307
107,1293,1293,2696,2696
108,2331,2331,1837,1837
109,2179,2179,2280,2280
110,1952,1952,1811,1811
111,1074,1074,1986,1986
112,2226,2226
113,1774,1774,2430,2430
114,2185,2185
115,1751,1751,1500,1500
116,1491,1491,2257,2257
117,2481,2481,2516,2516
118,2615,2615
119,1588,1588,1599,1599
120,1639,1639,1515,1515
121,1185,1185
122,1190,1190,2474,2474
123,1582,1582
124,1775,1775
125,2407,2407
126,1880,1880
127,1581,1581
128,1146,1146
129,1043,1043,1371,1371
130,1905,1905
131,1265,1265,2702,2702
132,1444,1444
133,1472,1472,1050,1050
134,1878,1878
135,2262,2262,2594,2594
136,2063,2063
137,2118,2118,2022,2022
138,2139,2139,1847,1847
139,1949,1949,1226,1226
140,2016,2016,2177,2177
141,1702,1702,1482,1482
142,1417,1417
143,1696,1696,2256,2256
144,2208,2208,1352,1352
145,1881,1881,2665,2665
146,1236,1236,1479,1479
147,2606,2606
148,1408,1408
149,1822,1822,1545,1545
150,1963,1963
151,1441,1441,1100,1100
152,1208,1208
153,1883,1883,2385,2385
154,1690,1690,1945,1945
155,2654,2654,2667,2667
156,2081,2081
157,2303,2303,1067,1067
158,2006,2006
159,1749,1749,1234,1234
160,2046,2046,2259,2259
161,2577,2577,1619,1619
162,1233,1233
163,2073,2073,2357,2357
164,1607,1607,1672,1672
165,2497,2497,1594,1594
166,1570,1570
167,1489,1489,2109,2109
168,1727,1727
169,1034,1034,1935,1935
170,1257,1257,1465,1465
171,1103,1103
172,1912,1912
173,1488,1488,2569,2569
174,1758,1758
175,1278,1278,1061,1061
176,2195,2195
177,1149,1149,1863,1863
178,1809,1809
179,2144,2144,2025,2025
180,1828,1828,2034,2034
181,1459,1459,2398,2398
182,1556,1556
183,1124,1124,2522,2522
184,1213,1213
185,1678,1678,1590,1590
186,1720,1720,1229,1229
187,2060,2060,2388,2388
188,2324,2324,1054,1054
189,1810,1810
190,2321,2321,1517,1517
191,1695,1695,1286,1286
192,2099,2099,1551,1551
193,1730,1730
194,1747,1747,1933,1933
195,1385,1385
196,2225,2225
197,1873,1873
198,2294,2294
199,2639,2639,1463,1463
200,1768,1768,2646,2646
201,1496,1496
202,2136,2136,2572,2572
203,1345,1345,1708,1708
204,1958,1958
205,1908,1908
206,1381,1381
207,1550,1550
208,1729,1729,2005,2005
209,2436,2436
210,1956,1956
211,2115,2115,1913,1913
212,1306,1306,2391,2391
213,1105,1105
214,1382,1382,1022,1022
215,2343,2343,2734,2734
216,1285,1285
217,2028,2028
218,1870,1870,2349,2349
219,1445,1445
220,1289,1289
221,2733,2733,1894,1894
222,1762,1762,2175,2175
223,1726,1726,2618,2618
224,1380,1380,1536,1536
225,1821,1821
226,2510,2510
227,2657,2657
228,1684,1684
229,1995,1995
230,1354,1354
231,1613,1613
232,2505,2505,2122,2122
233,1667,1667,1621,1621
234,2630,2630,2041,2041
235,1323,1323
236,2304,2304
237,1287,1287
238,1528,1528
239,2107,2107
240,1892,1892
241,1827,1827
242,2266,2266
243,1862,1862,1818,1818
244,1605,1605
245,1927,1927,1987,1987
246,2290,2290
247,1549,1549,1407,1407
248,1988,1988
249,2062,2062,1579,1579
250,1797,1797
251,1942,1942
252,1888,1888
253,2054,2054
254,2455,2455
255,1835,1835
256,1119,1119
257,1212,1212
258,1059,1059,1476,1476
259,1136,1136
260,1151,1151
261,1638,1638
262,1537,1537,2441,2441
263,2291,2291
264,1604,1604
265,2716,2716,2739,2739
266,2295,2295
267,1616,1616
268,1971,1971,1313,1313
269,1674,1674,2032,2032
270,1355,1355,1635,1635
271,1979,1979
272,2168,2168
273,2086,2086,2318,2318
274,1148,1148
275,1798,1798
276,1029,1029,2547,2547
277,2532,2532,2027,2027
278,1531,1531,2521,2521
279,1918,1918
280,2288,2288
281,1929,1929,1189,1189
282,2282,2282
283,1890,1890,2379,2379
284,2636,2636
285,1744,1744
286,1179,1179
287,2087,2087
288,1312,1312
289,2261,2261
290,1543,1543,2709,2709
291,1308,1308
292,2155,2155
293,1761,1761
294,1240,1240
295,1055,1055
296,1970,1970,1789,1789
297,1207,1207
298,2014,2014,1617,1617
299,1160,1160,1025,1025
300,2106,2106,1615,1615
301,1361,1361
302,1194,1194
303,1434,1434
304,2260,2260,2701,2701
305,2164,2164,1876,1876
306,1245,1245
307,2100,2100
308,1200,1200
309,2127,2127
310,1088,1088
311,1427,1427
312,2131,2131
313,1333,1333
314,1571,1571,2470,2470
315,1411,1411
316,1203,1203
317,1435,1435
318,2149,2149,1455,1455
319,1740,1740
320,2725,2725
321,2293,2293
322,1219,1219
323,1383,1383
324,1097,1097
325,1324,1324
326,1922,1922
327,2176,2176,2374,2374
328,1842,1842,1709,1709
329,2462,2462
330,2162,2162,2626,2626
331,1475,1475
332,2371,2371
333,2015,2015,2536,2536
334,1101,1101,2674,2674
335,1773,1773
336,2148,2148
337,1436,1436
338,1122,1122
339,1090,1090
340,1065,1065,2567,2567
341,1227,1227,2624,2624
342,1962,1962
343,1098,1098
344,2189,2189
345,2563,2563,2588,2588
346,1292,1292
347,2209,2209
348,2296,2296,2538,2538
349,1665,1665,1048,1048
350,1027,1027,2662,2662
351,2204,2204
352,1252,1252
353,1415,1415
354,1440,1440
355,1600,1600
356,2078,2078
357,1428,1428
358,2302,2302,1541,1541
359,1829,1829,1093,1093
360,2113,2113
361,2584,2584
362,1688,1688
363,1393,1393
364,1916,1916
365,1412,1412
366,2446,2446
367,1039,1039,2380,2380
368,1253,1253
369,1852,1852
370,1982,1982,1084,1084
371,1327,1327
372,2680,2680
373,1494,1494,2377,2377
374,1896,1896,2650,2650
375,1755,1755,1392,1392
376,1167,1167
377,2056,2056
378,2429,2429
379,1357,1357
380,2664,2664,1891,1891
381,1332,1332
382,1404,1404
383,1977,1977
384,1294,1294
385,2316,2316
386,2213,2213
387,1911,1911,2184,2184
388,1046,1046
389,1824,1824
390,1872,1872
391,1238,1238
392,2044,2044,1438,1438
393,1646,1646
394,1418,1418
395,2017,2017
396,1874,1874
397,2710,2710
398,1670,1670
399,2188,2188
400,1111,1111
401,1707,1707,1656,1656
402,1580,1580
403,1990,1990
404,2212,2212
405,1089,1089
406,1592,1592
407,2445,2445
408,2008,2008
409,1754,1754,2079,2079
410,1462,1462
411,1737,1737
412,1130,1130,1063,1063
413,2137,2137,2356,2356
414,1800,1800
415,2524,2524
416,1770,1770
417,2600,2600
418,2328,2328,2369,2369
419,1547,1547
420,1024,1024
421,1038,1038
422,2554,2554,1846,1846
423,2217,2217
424,1141,1141
425,1578,1578
426,1181,1181,1422,1422
427,1893,1893
